clk,time_stamp,userid,adgroup_id,pid,cate_id,campaign_id,customer,brand,price,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level,click_sequence
0,2017-05-06 00:00:01,871665,223448,430548_1007,4278,14905,94205,95340,2799.01,0,5,2,5,,2,0,,
0,2017-05-06 00:00:01,871665,789390,430548_1007,4385,234927,32537,234028,188.0,0,5,2,5,,2,0,,
0,2017-05-06 00:00:01,616268,395732,430539_1007,4280,143482,49079,166416,149.0,0,3,2,3,,3,0,,
0,2017-05-06 00:00:01,693616,654663,430548_1007,6261,184743,183715,247789,180.0,,,,,,,,,
0,2017-05-06 00:00:01,664542,323703,430548_1007,4532,84597,343,,28.0,20,3,2,3,2,3,0,,
0,2017-05-06 00:00:01,524548,263526,430539_1007,8112,181057,195682,,118.0,8,2,2,2,2,3,0,,
0,2017-05-06 00:00:01,268502,696459,430548_1007,4520,394213,28339,,85.0,57,8,1,2,2,3,0,,
0,2017-05-06 00:00:01,479339,118678,430548_1007,9460,133152,1823,314219,4360.0,0,9,1,3,,3,0,,
0,2017-05-06 00:00:01,479339,698324,430548_1007,6158,237347,155582,53923,190.0,0,9,1,3,,3,0,,
0,2017-05-06 00:00:01,871665,758902,430548_1007,4288,38772,80092,137274,258.0,0,5,2,5,,2,0,,
0,2017-05-06 00:00:01,754948,646876,430548_1007,10876,59075,144223,206353,186.0,0,7,1,1,,2,0,,
0,2017-05-06 00:00:01,479339,595104,430548_1007,4505,393232,14471,30520,359.0,0,9,1,3,,3,0,,
0,2017-05-06 00:00:01,693616,320222,430548_1007,6261,408795,63559,,47.0,,,,,,,,,
0,2017-05-06 00:00:01,693616,571696,430548_1007,4292,142840,179648,,68.8,,,,,,,,,
0,2017-05-06 00:00:01,664542,537137,430548_1007,4281,419685,73832,197848,158.0,20,3,2,3,2,3,0,,
0,2017-05-06 00:00:01,524548,726574,430539_1007,824,369584,185150,80633,159.0,8,2,2,2,2,3,0,,
0,2017-05-06 00:00:01,268502,681978,430548_1007,4520,360936,13787,,97.5,57,8,1,2,2,3,0,,
0,2017-05-06 00:00:01,479339,596489,430548_1007,4505,384547,37031,42695,99.0,0,9,1,3,,3,0,,
0,2017-05-06 00:00:01,992364,472153,430539_1007,6261,223853,156608,41873,264.0,20,3,2,3,2,3,0,,
0,2017-05-06 00:00:01,524548,713414,430539_1007,824,364151,19216,389298,258.0,8,2,2,2,2,3,0,,
0,2017-05-06 00:00:01,754948,339931,430548_1007,4505,122722,120884,327032,139.0,0,7,1,1,,2,0,,
0,2017-05-06 00:00:01,693616,561543,430548_1007,6261,119792,171746,,29.8,,,,,,,,,
0,2017-05-06 00:00:01,693616,192645,430548_1007,4292,138066,11968,215442,163.0,,,,,,,,,
0,2017-05-06 00:00:02,911194,512277,430548_1007,6261,187111,79797,87032,358.0,0,1,2,1,,3,0,,
0,2017-05-06 00:00:02,832981,756739,430548_1007,4385,225404,215611,59477,174.0,0,7,1,1,,1,0,,
0,2017-05-06 00:00:02,911194,452391,430548_1007,6261,44486,119724,186516,199.0,0,1,2,1,,3,0,,
0,2017-05-06 00:00:02,514836,601638,430539_1007,6407,345337,238466,166878,129.0,33,4,2,4,2,3,0,,
0,2017-05-06 00:00:02,391781,415119,430539_1007,1535,419872,55729,65658,269.0,44,5,2,5,2,3,0,,
1,2017-05-06 00:00:02,370363,756739,430548_1007,4385,225404,215611,59477,174.0,36,5,2,5,1,1,0,,
1,2017-05-06 00:00:02,514836,170301,430539_1007,6255,265350,228674,,12.5,33,4,2,4,2,3,0,,
0,2017-05-06 00:00:02,949173,366559,430548_1007,6140,156256,109572,106924,299.0,0,1,2,1,,1,0,,
0,2017-05-06 00:00:02,1115242,41803,430539_1007,4505,421861,36888,90316,99.0,0,9,1,3,2,3,0,,
0,2017-05-06 00:00:02,353405,261620,430548_1007,6760,286110,232575,424150,358.0,0,3,2,3,,3,0,,
0,2017-05-06 00:00:02,477708,168937,430548_1007,1226,188896,7844,425293,128.0,16,3,2,3,1,3,1,,
0,2017-05-06 00:00:02,911194,318447,430548_1007,6733,200410,25760,317982,45.0,0,1,2,1,,3,0,,
0,2017-05-06 00:00:02,353405,506323,430548_1007,8202,246731,82710,293023,899.0,0,3,2,3,,3,0,,
0,2017-05-06 00:00:02,477708,677904,430548_1007,1665,144634,132719,302582,138.0,16,3,2,3,1,3,1,,
0,2017-05-06 00:00:02,55033,620312,430548_1007,6432,254792,224983,293023,118.0,77,10,1,4,1,3,0,,
0,2017-05-06 00:00:02,832981,687140,430548_1007,4385,6710,77114,,99.0,0,7,1,1,,1,0,,
0,2017-05-06 00:00:02,911194,541502,430548_1007,6261,35662,57362,160253,299.0,0,1,2,1,,3,0,,
0,2017-05-06 00:00:02,353405,361919,430548_1007,7339,239633,182659,,59.0,0,3,2,3,,3,0,,
0,2017-05-06 00:00:02,832981,734869,430548_1007,4385,166931,189572,,69.0,0,7,1,1,,1,0,,
0,2017-05-06 00:00:02,514836,570906,430539_1007,5263,115316,173817,197848,39.0,33,4,2,4,2,3,0,,170301
0,2017-05-06 00:00:02,911194,530249,430548_1007,1665,155775,184541,,199.0,0,1,2,1,,3,0,,
0,2017-05-06 00:00:02,911194,675017,430548_1007,6261,237467,75534,,258.0,0,1,2,1,,3,0,,
0,2017-05-06 00:00:02,477708,545057,430548_1007,4267,345717,155607,388290,43.8,16,3,2,3,1,3,1,,
0,2017-05-06 00:00:02,911194,214782,430548_1007,7184,113420,35990,89842,168.8,0,1,2,1,,3,0,,
0,2017-05-06 00:00:02,514836,594936,430539_1007,6416,346951,252276,255820,128.0,33,4,2,4,2,3,0,,170301
0,2017-05-06 00:00:02,514836,756739,430539_1007,4284,381129,135248,,122.0,33,4,2,4,2,3,0,,170301
1,2017-05-06 00:00:02,514836,573514,430539_1007,6407,101437,124874,98630,168.0,33,4,2,4,2,3,0,,170301
0,2017-05-06 00:00:02,911194,651184,430548_1007,1665,158024,88742,,28.66,0,1,2,1,,3,0,,
0,2017-05-06 00:00:02,514836,540137,430539_1007,6407,153671,172777,337365,136.0,33,4,2,4,2,3,0,,170301^573514
0,2017-05-06 00:00:02,370363,473741,430548_1007,6286,155404,179212,418677,128.0,36,5,2,5,1,1,0,,756739
0,2017-05-06 00:00:02,55033,663034,430548_1007,4283,399132,53778,,128.0,77,10,1,4,1,3,0,,
0,2017-05-06 00:00:02,911194,636508,430548_1007,6261,76510,3024,,120.0,0,1,2,1,,3,0,,
0,2017-05-06 00:00:02,391781,530563,430539_1007,1535,348684,131908,141341,328.0,44,5,2,5,2,3,0,,
0,2017-05-06 00:00:02,514836,170301,430539_1007,6255,175802,25471,54471,19.6,33,4,2,4,2,3,0,,170301^573514
0,2017-05-06 00:00:02,1115242,87979,430539_1007,4505,8530,83172,90316,79.0,0,9,1,3,2,3,0,,
0,2017-05-06 00:00:02,55033,477950,430548_1007,4267,347880,157846,194532,48.0,77,10,1,4,1,3,0,,
0,2017-05-06 00:00:02,911194,604453,430548_1007,4520,386201,27731,314496,87.0,0,1,2,1,,3,0,,
0,2017-05-06 00:00:02,370363,444691,430548_1007,6286,76341,151804,106641,89.0,36,5,2,5,1,1,0,,756739
0,2017-05-06 00:00:02,514836,742211,430539_1007,824,330322,171879,337365,88.0,33,4,2,4,2,3,0,,170301^573514
